ID,Label
../data/data_20230622/0.jpeg,47
../data/data_20230622/1.jpeg,26
../data/data_20230622/2.jpeg,40
../data/data_20230622/3.jpeg,48
../data/data_20230622/4.jpeg,41
../data/data_20230622/5.jpeg,68
../data/data_20230622/6.jpeg,69
../data/data_20230622/7.jpeg,70
../data/data_20230622/8.jpeg,71
../data/data_20230622/9.jpeg,25
../data/data_20230622/10.jpeg,26
../data/data_20230622/11.jpeg,27
../data/data_20230622/12.jpeg,28
../data/data_20230622/13.jpeg,91
../data/data_20230622/14.jpeg,92
../data/data_20230622/15.jpeg,93
../data/data_20230622/16.jpeg,45
../data/data_20230622/17.jpeg,46
../data/data_20230622/18.jpeg,47
../data/data_20230622/19.jpeg,28
../data/data_20230622/20.jpeg,16
../data/data_20230622/21.jpeg,25
../data/data_20230622/22.jpeg,40
../data/data_20230622/23.jpeg,13
../data/data_20230622/24.jpeg,63
../data/data_20230622/25.jpeg,94
../data/data_20230622/26.jpeg,91
../data/data_20230622/27.jpeg,25
../data/data_20230622/28.jpeg,68
../data/data_20230622/29.jpeg,70
../data/data_20230622/30.jpeg,16
../data/data_20230622/31.jpeg,17
../data/data_20230622/32.jpeg,28
../data/data_20230622/33.jpeg,91
../data/data_20230622/34.jpeg,28
../data/data_20230622/35.jpeg,25
../data/data_20230622/36.jpeg,28
../data/data_20230622/37.jpeg,71
../data/data_20230622/38.jpeg,25
../data/data_20230622/39.jpeg,25
../data/data_20230622/40.jpeg,25
../data/data_20230622/41.jpeg,27
../data/data_20230622/42.jpeg,25
../data/data_20230622/43.jpeg,71
../data/data_20230622/44.jpeg,25
../data/data_20230622/45.jpeg,25
../data/data_20230622/46.jpeg,92
../data/data_20230622/47.jpeg,9
../data/data_20230622/48.jpeg,13
../data/data_20230622/49.jpeg,14
../data/data_20230622/50.jpeg,18
../data/data_20230622/51.jpeg,12
../data/data_20230622/52.jpeg,19
../data/data_20230622/53.jpeg,0
../data/data_20230622/54.jpeg,13
../data/data_20230622/55.jpeg,14
../data/data_20230622/56.jpeg,11
../data/data_20230622/57.jpeg,18
../data/data_20230622/58.jpeg,12
../data/data_20230622/59.jpeg,14
../data/data_20230622/60.jpeg,7
../data/data_20230622/61.jpeg,8
../data/data_20230622/62.jpeg,14
../data/data_20230622/63.jpeg,12
../data/data_20230622/64.jpeg,19
../data/data_20230622/65.jpeg,13
../data/data_20230622/66.jpeg,15
../data/data_20230622/67.jpeg,19
../data/data_20230622/68.jpeg,15
../data/data_20230622/69.jpeg,13
../data/data_20230622/70.jpeg,0
../data/data_20230622/71.jpeg,15
../data/data_20230622/72.jpeg,12
../data/data_20230622/73.jpeg,8
../data/data_20230622/74.jpeg,14
../data/data_20230622/75.jpeg,12
../data/data_20230622/76.jpeg,19
../data/data_20230622/77.jpeg,13
../data/data_20230622/78.jpeg,12
../data/data_20230622/79.jpeg,19
../data/data_20230622/80.jpeg,14
../data/data_20230622/81.jpeg,15
../data/data_20230622/82.jpeg,7
../data/data_20230622/83.jpeg,14
../data/data_20230622/84.jpeg,13
../data/data_20230622/85.jpeg,12
../data/data_20230622/86.jpeg,14
../data/data_20230622/87.jpeg,19
../data/data_20230622/88.jpeg,13
../data/data_20230622/89.jpeg,4
../data/data_20230622/90.jpeg,rejeição ao
../data/data_20230622/91.jpeg,88
../data/data_20230622/92.jpeg,240
../data/data_20230622/93.jpeg,530
../data/data_20230622/94.jpeg,760
../data/data_20230622/95.jpeg,120
../data/data_20230622/96.jpeg,320
../data/data_20230622/97.jpeg,440
../data/data_20230622/98.jpeg,24
../data/data_20230622/99.jpeg,12
../data/data_20230622/100.jpeg,32
../data/data_20230622/101.jpeg,44
../data/data_20230622/102.jpeg,4
../data/data_20230622/103.jpeg,106
../data/data_20230622/104.jpeg,152
../data/data_20230622/105.jpeg,24
../data/data_20230622/106.jpeg,64
../data/data_20230622/107.jpeg,600
../data/data_20230622/108.jpeg,25
../data/data_20230622/109.jpeg,25
../data/data_20230622/110.jpeg,4
../data/data_20230622/111.jpeg,1
../data/data_20230622/112.jpeg,12
../data/data_20230622/113.jpeg,50
../data/data_20230622/114.jpeg,5
../data/data_20230622/115.jpeg,20
../data/data_20230622/116.jpeg,15
../data/data_20230622/117.jpeg,10
../data/data_20230622/118.jpeg,35
../data/data_20230622/119.jpeg,6
../data/data_20230622/120.jpeg,9
../data/data_20230622/121.jpeg,54
../data/data_20230622/122.jpeg,30
../data/data_20230622/123.jpeg,180
../data/data_20230622/124.jpeg,-96
../data/data_20230622/125.jpeg,18
../data/data_20230622/126.jpeg,105
../data/data_20230622/127.jpeg,-21
../data/data_20230622/128.jpeg,20
../data/data_20230622/129.jpeg,-4
../data/data_20230622/130.jpeg,-1
../data/data_20230622/131.jpeg,-145
../data/data_20230622/132.jpeg,10
../data/data_20230622/133.jpeg,7
../data/data_20230622/134.jpeg,90
../data/data_20230622/135.jpeg,28
../data/data_20230622/136.jpeg,8
../data/data_20230622/137.jpeg,4
../data/data_20230622/138.jpeg,7
../data/data_20230622/139.jpeg,60
../data/data_20230622/140.jpeg,104
../data/data_20230622/141.jpeg,24
../data/data_20230622/142.jpeg,30
../data/data_20230622/143.jpeg,0
../data/data_20230622/144.jpeg,51
../data/data_20230622/145.jpeg,70
../data/data_20230622/146.jpeg,6
../data/data_20230622/147.jpeg,20
../data/data_20230622/148.jpeg,60
../data/data_20230622/149.jpeg,50
../data/data_20230622/150.jpeg,57
../data/data_20230622/151.jpeg,66
../data/data_20230622/152.jpeg,80
../data/data_20230622/153.jpeg,52
../data/data_20230622/154.jpeg,8
../data/data_20230622/155.jpeg,9
../data/data_20230622/156.jpeg,5
../data/data_20230622/157.jpeg,40
../data/data_20230622/158.jpeg,6
../data/data_20230622/159.jpeg,6
../data/data_20230622/160.jpeg,77
../data/data_20230622/161.jpeg,68
../data/data_20230622/162.jpeg,0
../data/data_20230622/163.jpeg,51
../data/data_20230622/164.jpeg,70
../data/data_20230622/165.jpeg,6
../data/data_20230622/166.jpeg,20
../data/data_20230622/167.jpeg,60
../data/data_20230622/168.jpeg,50
../data/data_20230622/169.jpeg,57
../data/data_20230622/170.jpeg,66
../data/data_20230622/171.jpeg,80
../data/data_20230622/172.jpeg,52
../data/data_20230622/173.jpeg,8
../data/data_20230622/174.jpeg,9
../data/data_20230622/175.jpeg,5
../data/data_20230622/176.jpeg,30
../data/data_20230622/177.jpeg,6
../data/data_20230622/178.jpeg,6
../data/data_20230622/179.jpeg,2
../data/data_20230622/180.jpeg,10
../data/data_20230622/181.jpeg,9
../data/data_20230622/182.jpeg,77
../data/data_20230622/183.jpeg,11
../data/data_20230622/184.jpeg,68
../data/data_20230622/185.jpeg,600
../data/data_20230622/186.jpeg,25
../data/data_20230622/187.jpeg,25
../data/data_20230622/188.jpeg,4
../data/data_20230622/189.jpeg,1
../data/data_20230622/190.jpeg,12
../data/data_20230622/191.jpeg,50
../data/data_20230622/192.jpeg,20
../data/data_20230622/193.jpeg,10
../data/data_20230622/194.jpeg,35
../data/data_20230622/195.jpeg,6
../data/data_20230622/196.jpeg,9
../data/data_20230622/197.jpeg,54
../data/data_20230622/198.jpeg,30
../data/data_20230622/199.jpeg,180
../data/data_20230622/200.jpeg,8
../data/data_20230622/201.jpeg,4
../data/data_20230622/202.jpeg,1874
../data/data_20230622/203.jpeg,75
../data/data_20230622/204.jpeg,105
../data/data_20230622/205.jpeg,-21
../data/data_20230622/206.jpeg,20
../data/data_20230622/207.jpeg,5
../data/data_20230622/208.jpeg,10
../data/data_20230622/209.jpeg,7
../data/data_20230622/210.jpeg,90
../data/data_20230622/211.jpeg,28
../data/data_20230622/212.jpeg,60
../data/data_20230622/213.jpeg,104
../data/data_20230622/214.jpeg,30
../data/data_20230622/215.jpeg,6
../data/data_20230622/216.jpeg,4
../data/data_20230622/217.jpeg,6
../data/data_20230622/218.jpeg,61
../data/data_20230622/219.jpeg,20
../data/data_20230622/220.jpeg,60
../data/data_20230622/221.jpeg,50
../data/data_20230622/222.jpeg,11
../data/data_20230622/223.jpeg,57
../data/data_20230622/224.jpeg,66
../data/data_20230622/225.jpeg,9
../data/data_20230622/226.jpeg,87
../data/data_20230622/227.jpeg,11
../data/data_20230622/228.jpeg,78
../data/data_20230622/229.jpeg,6
../data/data_20230622/230.jpeg,10
../data/data_20230622/231.jpeg,11
../data/data_20230622/232.jpeg,0
../data/data_20230622/233.jpeg,51
../data/data_20230622/234.jpeg,70
../data/data_20230622/235.jpeg,6
../data/data_20230622/236.jpeg,20
../data/data_20230622/237.jpeg,60
../data/data_20230622/238.jpeg,50
../data/data_20230622/239.jpeg,57
../data/data_20230622/240.jpeg,66
../data/data_20230622/241.jpeg,80
../data/data_20230622/242.jpeg,52
../data/data_20230622/243.jpeg,8
../data/data_20230622/244.jpeg,9
../data/data_20230622/245.jpeg,5
../data/data_20230622/246.jpeg,30
../data/data_20230622/247.jpeg,6
../data/data_20230622/248.jpeg,6
../data/data_20230622/249.jpeg,2
../data/data_20230622/250.jpeg,10
../data/data_20230622/251.jpeg,77
../data/data_20230622/252.jpeg,11
../data/data_20230622/253.jpeg,68
../data/data_20230622/254.jpeg,0
../data/data_20230622/255.jpeg,51
../data/data_20230622/256.jpeg,70
../data/data_20230622/257.jpeg,6
../data/data_20230622/258.jpeg,20
../data/data_20230622/259.jpeg,60
../data/data_20230622/260.jpeg,50
../data/data_20230622/261.jpeg,57
../data/data_20230622/262.jpeg,66
../data/data_20230622/263.jpeg,80
