0,1
../data/data_20230622/19364.jpeg,amor
../data/data_20230622/20963.jpeg,GOSTO DE CEBOLINHA NA SALADA
../data/data_20230622/24923.jpeg,R.
../data/data_20230622/23774.jpeg,PIMENTA
../data/data_20230622/20182.jpeg,PIMENTA
../data/data_20230622/23259.jpeg,IBABROTA
../data/data_20230622/22468.jpeg,PIMENTA
../data/data_20230622/23729.jpeg,PIMENTA
../data/data_20230622/26186.jpeg,pe
../data/data_20230622/15547.jpeg,ARBDA
../data/data_20230622/21065.jpeg, 
../data/data_20230622/18544.jpeg,felisidade
../data/data_20230622/18628.jpeg,eu gosto de recebe carrinho
../data/data_20230622/19467.jpeg,COISTO DE CEBOLINHA NA SALA
../data/data_20230622/22301.jpeg,TASXO
../data/data_20230622/24808.jpeg,ALHO
../data/data_20230622/25151.jpeg,SEBOLINHA
../data/data_20230622/21939.jpeg,NÃO GOSTO DE CEBOLINHA NA SALADA
../data/data_20230622/24049.jpeg,CETUTISBOLIANASALAD
../data/data_20230622/18951.jpeg,carinho
../data/data_20230622/23019.jpeg,ALHO
../data/data_20230622/25624.jpeg,ne cabelinao vao pi lho
../data/data_20230622/19495.jpeg,SOO
../data/data_20230622/18859.jpeg,paz
../data/data_20230622/15077.jpeg,O NOSO PLANETA É MUITO BONITO
../data/data_20230622/19628.jpeg,SAU
../data/data_20230622/19639.jpeg,EOA
../data/data_20230622/15487.jpeg,TEIA
../data/data_20230622/21334.jpeg,EU GOSTO DE CEBOLINHA NASA
../data/data_20230622/15193.jpeg,NATURESA
../data/data_20230622/15602.jpeg,TERRA
../data/data_20230622/24259.jpeg,COIL
../data/data_20230622/18154.jpeg,felisidade
../data/data_20230622/22955.jpeg,planeta
../data/data_20230622/23793.jpeg,SEBOLINHA
../data/data_20230622/22004.jpeg,COPODECBOCIANTALADA
../data/data_20230622/19118.jpeg,amor
../data/data_20230622/19242.jpeg,paz
../data/data_20230622/23295.jpeg,ALO
../data/data_20230622/19787.jpeg,SAO
../data/data_20230622/16602.jpeg,PLANETA
../data/data_20230622/15030.jpeg,PLANETA
../data/data_20230622/21575.jpeg,oa
../data/data_20230622/23923.jpeg,PINETA
../data/data_20230622/19410.jpeg,carinho
../data/data_20230622/23337.jpeg,CEBOLINHA
../data/data_20230622/19522.jpeg,IEA
../data/data_20230622/22412.jpeg,COSODEEBOLIANANASALADA
../data/data_20230622/15900.jpeg,TFAXE
../data/data_20230622/25794.jpeg,caliio
../data/data_20230622/22202.jpeg,POICOPA
../data/data_20230622/21187.jpeg,PIMENTA
../data/data_20230622/20312.jpeg,ALHO
../data/data_20230622/23451.jpeg,PERTA
../data/data_20230622/20025.jpeg,SAO
../data/data_20230622/22498.jpeg,B EAC
../data/data_20230622/22169.jpeg,PIMENTA
../data/data_20230622/21625.jpeg,amor
../data/data_20230622/17184.jpeg,carinho
../data/data_20230622/21265.jpeg,GOSTO DE CEBOLINHA NA SALADA
../data/data_20230622/22227.jpeg,HOTODOCBOLINHANASALADA
../data/data_20230622/16096.jpeg,EU GOSTO DE RECEBER CARINHO
../data/data_20230622/17759.jpeg,FLOR
../data/data_20230622/24205.jpeg,GOSTO DE CEBOLINHA NASALADA
../data/data_20230622/24442.jpeg,ALHO
../data/data_20230622/19002.jpeg,pas
../data/data_20230622/25639.jpeg,eudeeeibio
../data/data_20230622/16782.jpeg,TERRA
../data/data_20230622/25798.jpeg,felecedade
../data/data_20230622/17558.jpeg,O NOSO PLANTE É BONITO
../data/data_20230622/22647.jpeg,PONOSOPRUNETAEMUITOBONITO
../data/data_20230622/21533.jpeg,GOSTO DE SEBOLINHA
../data/data_20230622/18990.jpeg,ceo
../data/data_20230622/17673.jpeg,ITY
../data/data_20230622/21395.jpeg,7 222
../data/data_20230622/19579.jpeg,SAU
../data/data_20230622/20278.jpeg,ALHO
../data/data_20230622/18431.jpeg,carinho
../data/data_20230622/24142.jpeg,GUSTODECEBOLINHANAISALADA
../data/data_20230622/23779.jpeg,ICOL2O
../data/data_20230622/17113.jpeg,paz
../data/data_20230622/25626.jpeg,cabesa
../data/data_20230622/23446.jpeg,REI CAPITÃO
../data/data_20230622/26085.jpeg,aolreo
../data/data_20230622/18561.jpeg,amon
../data/data_20230622/18519.jpeg,felisidade
../data/data_20230622/19642.jpeg,ALHO
../data/data_20230622/17944.jpeg,PLANETA
../data/data_20230622/25996.jpeg,ea
../data/data_20230622/17302.jpeg,TERRA
../data/data_20230622/25242.jpeg,AO
../data/data_20230622/17267.jpeg,NADOREZA
../data/data_20230622/15953.jpeg,FLOR
../data/data_20230622/16775.jpeg,NATUREZA
../data/data_20230622/24892.jpeg,AZUL
../data/data_20230622/23308.jpeg,SEBOUINHA
../data/data_20230622/15562.jpeg,NATURESA
../data/data_20230622/24719.jpeg,ALHO
../data/data_20230622/22738.jpeg,PLANETA
../data/data_20230622/20549.jpeg,AILATA
../data/data_20230622/15022.jpeg,TERRA
../data/data_20230622/25045.jpeg,AIO
../data/data_20230622/20207.jpeg,PIMETA
../data/data_20230622/17551.jpeg,TERRA
../data/data_20230622/15643.jpeg,FOLO
../data/data_20230622/15792.jpeg,FLOR
../data/data_20230622/22298.jpeg,térra
../data/data_20230622/16331.jpeg,paz
../data/data_20230622/19623.jpeg,SAL
../data/data_20230622/24948.jpeg,GOD COLIA A SALADA
../data/data_20230622/20560.jpeg,ALHO
../data/data_20230622/22384.jpeg,PANETA
../data/data_20230622/20506.jpeg,AO
../data/data_20230622/18629.jpeg,felisidade
../data/data_20230622/16610.jpeg,O NOSSO PLANETA  MUNTO BONITA
../data/data_20230622/19536.jpeg,CUIA
../data/data_20230622/21431.jpeg,ALOLU
../data/data_20230622/24247.jpeg,ALU
../data/data_20230622/16750.jpeg,O NOSO PRANETA É MUIR BONITO
../data/data_20230622/22972.jpeg,CEBOLINHA
../data/data_20230622/19165.jpeg,eu gosto de reseer carinho
../data/data_20230622/25846.jpeg,felisidade
../data/data_20230622/22486.jpeg,O NCO PANEDA E MUTO P
../data/data_20230622/19799.jpeg,SEBOLRA
../data/data_20230622/17817.jpeg,TERRA
../data/data_20230622/21920.jpeg,TADE
../data/data_20230622/16458.jpeg,TERRA
../data/data_20230622/24709.jpeg,ALIO
../data/data_20230622/25745.jpeg,paz
../data/data_20230622/19541.jpeg,EOIA
../data/data_20230622/16293.jpeg,amui
../data/data_20230622/18483.jpeg,eu gosto de receber carinho
../data/data_20230622/17186.jpeg,paz
../data/data_20230622/15331.jpeg,O NOSSO PLANETA E MUITO BO
../data/data_20230622/17068.jpeg,carinho
../data/data_20230622/23155.jpeg,PLANETA
../data/data_20230622/17641.jpeg,FO
../data/data_20230622/19402.jpeg,laontortro
../data/data_20230622/20516.jpeg,SAU
../data/data_20230622/20422.jpeg,GOSTO DE CEBOLINHA NASALADA
../data/data_20230622/16046.jpeg,PANETA
../data/data_20230622/20837.jpeg,AOM
../data/data_20230622/15126.jpeg,O NOSO PLANTA E MUITO BNITO
../data/data_20230622/19677.jpeg,ANO
../data/data_20230622/16372.jpeg,O NOSO TPANETA E MOTO BONI
../data/data_20230622/22141.jpeg,ALHO
../data/data_20230622/17911.jpeg,PANETA
../data/data_20230622/25344.jpeg,COTA
../data/data_20230622/20929.jpeg,COBOLA
../data/data_20230622/25506.jpeg,SAL
../data/data_20230622/23863.jpeg,CROIA
../data/data_20230622/25696.jpeg,eu gosto de receber carinho
../data/data_20230622/19825.jpeg,PIMETA
../data/data_20230622/16300.jpeg,carinio
../data/data_20230622/25679.jpeg,amor
../data/data_20230622/19038.jpeg,Felicidade
../data/data_20230622/24158.jpeg,COIA
../data/data_20230622/20359.jpeg, 
../data/data_20230622/14959.jpeg,O NOSSO PLANETA É MUITO BONITO
../data/data_20230622/21577.jpeg,eieitlcio
../data/data_20230622/23818.jpeg,CEBOLHA
../data/data_20230622/16270.jpeg,EU GOSTO DE RECEBER CARINHO
../data/data_20230622/19802.jpeg,SAO
../data/data_20230622/23023.jpeg,IDASA
../data/data_20230622/21856.jpeg,estomago
../data/data_20230622/20634.jpeg,ELAMUELNB
../data/data_20230622/25158.jpeg,ALO
../data/data_20230622/25512.jpeg,CESSEA LANO
../data/data_20230622/18849.jpeg,paz
../data/data_20230622/20648.jpeg,CEBOLINHA
../data/data_20230622/17816.jpeg,PLANETA
../data/data_20230622/25366.jpeg,ALIO
../data/data_20230622/24926.jpeg,ALHO
../data/data_20230622/19694.jpeg,CEBOLINHA
../data/data_20230622/22324.jpeg,ATAI
../data/data_20230622/15484.jpeg,FLOL
../data/data_20230622/20951.jpeg,ALHO
../data/data_20230622/22938.jpeg,LAAAIP AAA
../data/data_20230622/22354.jpeg,CEBOLINHA
../data/data_20230622/22977.jpeg,SOIA
../data/data_20230622/16824.jpeg,NATORESA
../data/data_20230622/17640.jpeg,TERA
../data/data_20230622/19529.jpeg,SAIO
../data/data_20230622/24276.jpeg,AO
../data/data_20230622/20849.jpeg,CEBOLINHA
../data/data_20230622/23909.jpeg,ALHO
../data/data_20230622/17378.jpeg,NATUREZA
../data/data_20230622/15601.jpeg,PRANETA
../data/data_20230622/26242.jpeg,e cabesalira piolonao vem
../data/data_20230622/22591.jpeg,SOLDADO LADRÃO
../data/data_20230622/19679.jpeg,GOTOCABOLIÃNSALADA
../data/data_20230622/18188.jpeg,amor
../data/data_20230622/16522.jpeg,NATUREZA
../data/data_20230622/23083.jpeg,ALIO.
../data/data_20230622/19846.jpeg,SAL
../data/data_20230622/22579.jpeg,GOSTO DE CEBOLINHA NA SALADA
../data/data_20230622/17707.jpeg,NATUREZA
../data/data_20230622/23336.jpeg,DON
../data/data_20230622/18932.jpeg,amo
../data/data_20230622/25053.jpeg,SCIA
../data/data_20230622/21150.jpeg,DAGA DE CBOLIA NA CALADA.
../data/data_20230622/21391.jpeg,ALO
../data/data_20230622/18727.jpeg,pais
../data/data_20230622/24649.jpeg,PILETA
../data/data_20230622/18901.jpeg,carimo
../data/data_20230622/25392.jpeg,SAU
../data/data_20230622/25470.jpeg,IEA
../data/data_20230622/24487.jpeg,SAL
../data/data_20230622/16215.jpeg,PAIS
../data/data_20230622/18329.jpeg,FLOR
../data/data_20230622/20298.jpeg,SAL
../data/data_20230622/24029.jpeg,3AV
../data/data_20230622/23618.jpeg,DOMELCORAÇÃO
../data/data_20230622/19304.jpeg,felisidadi
../data/data_20230622/15386.jpeg,TERRA
../data/data_20230622/16571.jpeg,naturesa
../data/data_20230622/21125.jpeg,GOTU DE SEBOLIA NA SALADA
../data/data_20230622/16006.jpeg,O NOSSO PLANETA É MUITO BONITO
../data/data_20230622/21092.jpeg,PIMENTA
../data/data_20230622/17300.jpeg,NATUREZA
../data/data_20230622/20792.jpeg,SAU
../data/data_20230622/18851.jpeg,felisedade
../data/data_20230622/17850.jpeg,MANETA
../data/data_20230622/26054.jpeg,carinho
../data/data_20230622/18756.jpeg,amor
../data/data_20230622/23651.jpeg,ALHO
../data/data_20230622/19056.jpeg,Amor
../data/data_20230622/23057.jpeg,SEBOLINHA
../data/data_20230622/23801.jpeg,SAL
../data/data_20230622/19721.jpeg,AIO
../data/data_20230622/24690.jpeg,SAL
../data/data_20230622/19599.jpeg,OODRODOBDIANABABADA
../data/data_20230622/24954.jpeg,ASE
../data/data_20230622/14996.jpeg,PIPOQUEIRO
../data/data_20230622/22757.jpeg,NATURESA
../data/data_20230622/19995.jpeg,ALO
../data/data_20230622/17658.jpeg,NATORESA
../data/data_20230622/25021.jpeg,SAO
../data/data_20230622/25551.jpeg,eu goto de rese becarinho
../data/data_20230622/21978.jpeg,SAL
../data/data_20230622/19608.jpeg,SAL
../data/data_20230622/21392.jpeg,SAO
../data/data_20230622/18303.jpeg,carinho
../data/data_20230622/24062.jpeg,SAU
../data/data_20230622/23604.jpeg,GOSTO DE CEBOLINHA NA SALADA
../data/data_20230622/25337.jpeg,RI
../data/data_20230622/17675.jpeg,CPY
../data/data_20230622/22059.jpeg,SEBOLNHA
../data/data_20230622/17819.jpeg,O NOSSO PLANETA E MUITO BONITO
../data/data_20230622/25087.jpeg,CBOLINA
../data/data_20230622/24697.jpeg,CEBOLINHA
../data/data_20230622/22685.jpeg,SAL
../data/data_20230622/19934.jpeg,PINTA
../data/data_20230622/16688.jpeg,PEHO
../data/data_20230622/21403.jpeg,GOSTO DE CEBOLINHA NA SALADA
../data/data_20230622/23242.jpeg,O NOSSO PLANETA RÉ
../data/data_20230622/21058.jpeg,AO
../data/data_20230622/24841.jpeg,PIMEDA
../data/data_20230622/18631.jpeg,amor
../data/data_20230622/16785.jpeg,ALERI
../data/data_20230622/18072.jpeg,feisadade
../data/data_20230622/19207.jpeg,amor
../data/data_20230622/23128.jpeg,GOSTO CEBOLINHA NA SALADA
../data/data_20230622/15679.jpeg,FLOR
